Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
614,Taylor Rogers,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rogerta01
615,Jose Rojas,LAA,22,56,1,7,2,0,0,1,0,0,0,19,1,0,0,rojasjo02
616,Josh Rojas,ARI,125,443,66,119,25,1,9,56,23,3,55,98,2,5,2,rojasjo01
617,Miguel Rojas,MIA,140,471,34,111,19,2,6,36,9,3,26,61,6,3,1,rojasmi02
618,JoJo Romero,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,romerjo01
619,Austin Romine,TOT,51,129,10,20,3,0,3,9,0,0,4,46,1,0,0,rominau01
620,Brent Rooker,TOT,16,32,1,4,1,0,0,2,0,0,3,11,1,0,0,rookebr01
621,Amed Rosario,CLE,153,637,86,180,26,9,11,71,18,4,25,111,4,4,0,rosaram01
622,Eddie Rosario,ATL,80,250,27,53,12,1,5,24,3,0,17,68,0,3,0,rosared01
623,Eguy Rosario,SDP,7,5,0,1,0,0,0,0,0,0,1,2,0,0,0,rosareg01
624,Darin Ruf,TOT,118,334,52,68,12,0,11,45,2,0,45,105,6,3,0,rufda01
625,Esteury Ruiz,TOT,17,35,3,6,1,1,0,2,1,2,1,7,0,0,0,ruizes01
626,Keibert Ruiz,WSN,112,394,33,99,22,0,7,36,6,1,30,50,6,2,0,ruizke01
627,Adley Rutschman,BAL,113,398,70,101,35,1,13,42,4,0,65,86,4,3,0,rutscad01
628,Gary Sanchez,MIN,128,419,42,86,24,0,16,61,2,0,40,136,7,5,0,sanchga02
629,Jesus Sanchez,MIA,98,313,38,67,14,3,13,36,1,0,26,92,3,1,0,sanchje02
630,Yolmer Sanchez,TOT,17,37,1,4,0,0,0,2,0,2,5,13,0,0,0,sanchca01
631,Donny Sands,PHI,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,sandsdo01
632,Reiver Sanmartin,CIN,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,sanmare01
633,Miguel Sano,MIN,20,60,1,5,0,0,1,3,1,0,9,25,1,1,0,sanomi01
634,Carlos Santana,TOT,131,431,52,87,18,0,19,60,0,0,71,88,2,2,2,santaca01
635,Anthony Santander,BAL,152,574,78,138,24,0,33,89,0,2,55,122,13,5,1,santaan02
636,Clarke Schmidt,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schmicl01
637,Jonathan Schoop,DET,131,481,48,97,23,1,11,38,5,0,19,107,6,4,1,schoojo01
638,Max Schrock,CIN,13,26,1,4,0,0,0,1,0,0,1,6,0,0,0,schroma01
639,Kyle Schwarber,PHI,155,577,100,126,21,3,46,94,10,1,86,200,4,2,3,schwaky01
640,Frank Schwindel,CHC,75,271,23,62,11,0,8,36,0,0,19,58,0,2,1,schwifr01
641,Tanner Scott,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,scottta01
642,Corey Seager,TEX,151,593,91,145,24,1,33,83,3,0,58,103,7,5,7,seageco01
643,Jean Segura,PHI,98,354,45,98,9,0,10,33,13,6,25,58,7,1,1,segurje01
644,Marcus Semien,TEX,161,657,101,163,31,5,26,83,25,8,53,120,4,10,0,semiema01
645,Nick Senzel,CIN,110,373,45,86,13,0,5,25,8,5,30,76,5,1,0,senzeni01
646,Brian Serven,COL,62,187,19,38,4,1,6,16,0,0,13,44,2,1,0,servebr01
647,Anderson Severino,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,severan01
648,Pedro Severino,MIL,8,18,0,4,2,0,0,1,0,0,3,7,0,0,0,severpe01
649,Paul Sewald,SEA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sewalpa01
650,Bryan Shaw,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shawbr01
651,Travis Shaw,BOS,7,19,0,0,0,0,0,0,0,0,0,7,0,0,0,shawtr01
652,Gavin Sheets,CHW,124,377,34,91,19,0,15,53,0,0,27,86,3,3,0,sheetga01
653,Zack Short,DET,6,9,2,0,0,0,0,2,1,0,2,5,0,2,0,shortza01
654,Chasen Shreve,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,shrevch01
655,Michael Siani,CIN,9,24,1,4,0,0,0,0,0,1,0,7,0,0,0,sianimi01
656,Magneuris Sierra,LAA,45,91,7,15,1,3,0,5,6,1,4,25,0,0,0,sierrma01
657,Andrelton Simmons,CHC,34,75,8,13,1,0,0,7,4,0,7,13,0,0,0,simmoan01
658,Jose Siri,TOT,104,301,53,64,13,2,7,24,14,2,20,108,3,1,0,sirijo01
659,Austin Slater,SFG,125,277,49,73,15,2,7,34,12,1,40,89,6,2,0,slateau01
660,Dominic Smith,NYM,58,134,11,26,10,1,0,17,0,0,12,37,4,2,0,smithdo02
661,Josh Smith,TEX,73,213,23,42,5,0,2,16,4,3,28,50,7,3,0,smithjo11
662,Kevin Smith,OAK,47,139,9,25,9,1,2,13,4,0,7,42,0,2,0,smithke05
663,Pavin Smith,ARI,75,245,24,54,9,0,9,33,1,0,28,67,1,3,1,smithpa04
664,Will Smith,LAD,137,508,68,132,26,3,24,87,1,0,56,96,10,4,4,smithwi05
665,Canaan Smith-Njigba,PIT,3,5,1,1,1,0,0,0,0,0,1,0,1,0,0,smithca05
666,Collin Snider,KCR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,snideco01
667,Nick Solak,TEX,35,82,14,17,1,0,3,4,3,2,7,19,5,0,0,solakni01
668,Donovan Solano,CIN,80,278,22,79,16,0,4,24,0,0,19,61,5,2,1,solando01
669,Jorge Soler,MIA,72,270,32,56,13,0,13,34,0,2,31,90,3,1,1,solerjo01
670,Edmundo Sosa,TOT,78,176,26,40,11,4,2,21,6,1,5,50,7,1,0,sosaed01
